"state","year","constituency","constituency_url","afd","cdu","gruene","spd","fdp","die_linke","csu"
"Baden-Wurttemberg                    ",2016,"1 Stuttgart I","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=1 Stuttgart I",3.3,17.9,44.8,9.4,10.1,7.5,NA
"Baden-Wurttemberg                    ",2016,"2 Stuttgart II","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=2 Stuttgart II",4.9,21.7,39.8,10,12.9,4.4,NA
"Baden-Wurttemberg                    ",2016,"3 Stuttgart III","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=3 Stuttgart III",8,24.3,33.9,12.2,10.6,4.8,NA
"Baden-Wurttemberg                    ",2016,"4 Stuttgart IV","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=4 Stuttgart IV",5.8,21.5,35.6,13.2,9.7,7,NA
"Baden-Wurttemberg                    ",2016,"5 Böblingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=5 Böblingen",9.4,25.3,31.4,13.1,11.4,2.3,NA
"Baden-Wurttemberg                    ",2016,"6 Leonberg","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=6 Leonberg",8.2,26,32.7,10.6,11.7,2.3,NA
"Baden-Wurttemberg                    ",2016,"7 Esslingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=7 Esslingen",7.2,23.8,35.7,14.2,9.4,3.8,NA
"Baden-Wurttemberg                    ",2016,"8 Kirchheim","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=8 Kirchheim",9.5,24.4,33.1,12.6,10.3,2.8,NA
"Baden-Wurttemberg                    ",2016,"9 Nürtingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=9 Nürtingen",9.1,21.6,38.8,9.2,11.6,2.6,NA
"Baden-Wurttemberg                    ",2016,"10 Göppingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=10 Göppingen",12.3,26.5,28.8,12.3,8.9,2.1,NA
"Baden-Wurttemberg                    ",2016,"11 Geislingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=11 Geislingen",11.5,27.9,27.5,14.4,10.3,2.3,NA
"Baden-Wurttemberg                    ",2016,"12 Ludwigsburg","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=12 Ludwigsburg",8.7,22.2,34.6,12.1,11.2,4.2,NA
"Baden-Wurttemberg                    ",2016,"13 Vaihingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=13 Vaihingen",8.6,24.8,34.9,9.2,11.1,2.7,NA
"Baden-Wurttemberg                    ",2016,"14 Bietigheim-Bissingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=14 Bietigheim-Bissingen",9.2,24.5,34.2,10.6,10.9,2.8,NA
"Baden-Wurttemberg                    ",2016,"15 Waiblingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=15 Waiblingen",8.1,25.1,30,10.8,13.3,3.1,NA
"Baden-Wurttemberg                    ",2016,"16 Schorndorf","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=16 Schorndorf",9.9,24.2,29.7,10.4,16.3,2.6,NA
"Baden-Wurttemberg                    ",2016,"17 Backnang","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=17 Backnang",12.1,23.2,24,19,10.5,2.4,NA
"Baden-Wurttemberg                    ",2016,"18 Heilbronn","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=18 Heilbronn",12,23,30,11.6,12.3,3.6,NA
"Baden-Wurttemberg                    ",2016,"19 Eppingen","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=19 Eppingen",13.7,24.5,26.3,11.1,13.4,2.6,NA
"Baden-Wurttemberg                    ",2016,"20 Neckarsulm","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=20 Neckarsulm",13.9,25,27.4,12.7,9.9,3,NA
"Baden-Wurttemberg                    ",2016,"21 Hohenlohe","https://www.election.de/cgi-bin/showcandres_bw21.pl?land=bw21&karte=bw21&wahlkreis=21 Hohenlohe",14.1,24.4,28.7,11.9,10.9,2.8,NA
