,date,muni_name,month,year,Federal State,latitude,longitude
1,2015-01-01,Berlin,1,2015,NA,52.5200066,13.404954
2,2015-01-01,Plauen,1,2015,NA,50.4976133,12.1368679
3,2015-01-02,Grabau,1,2015,NA,53.80288,10.27773
4,2015-01-03,Berlin,1,2015,NA,52.5200066,13.404954
5,2015-01-08,Dresden,1,2015,NA,51.0504088,13.7372621
6,2015-01-10,Schwerte,1,2015,NA,51.4289295,7.5656315
7,2015-01-11,Schlüsselfeld,1,2015,NA,49.7575133,10.6228929
8,2015-01-11,Güstrow,1,2015,NA,53.8002129,12.1745703
9,2015-01-11,Bochum,1,2015,NA,51.4818445,7.2162363
10,2015-01-12,Weilheim i. OB,1,2015,NA,47.8422367,11.1427463
11,2015-01-12,Wurster Nordseeküste,1,2015,NA,53.6899199,8.5691684
12,2015-01-13,Rheine,1,2015,NA,52.2815691,7.4434092
13,2015-01-14,Berlin,1,2015,NA,52.5200066,13.404954
14,2015-01-15,Westerkappeln,1,2015,NA,52.3151023,7.8817046
15,2015-01-16,Schwerte,1,2015,NA,51.4289295,7.5656315
16,2015-01-16,Kevelaer,1,2015,NA,51.581349,6.245758
17,2015-01-17,Porta Westfalica,1,2015,NA,52.2253083,8.9402185
18,2015-01-18,Berlin,1,2015,NA,52.5200066,13.404954
19,2015-01-18,Haselbachtal,1,2015,NA,51.240734,14.0327492
20,2015-01-19,Pfreimd,1,2015,NA,49.4896837,12.1797928
21,2015-01-21,Berlin,1,2015,NA,52.5200066,13.404954
22,2015-01-21,Waldkirchen,1,2015,NA,48.7291545,13.6009591
23,2015-01-22,Feilitzsch,1,2015,NA,50.362288,11.9341628
24,2015-01-24,Duisburg,1,2015,NA,51.4344079,6.7623293
25,2015-01-25,Köln,1,2015,NA,50.937531,6.9602786
26,2015-01-26,Berlin,1,2015,NA,52.5200066,13.404954
27,2015-01-26,Müllheim,1,2015,NA,47.8091623,7.6180353
28,2015-01-27,Dortmund,1,2015,NA,51.5135872,7.4652981
29,2015-01-27,Hoyerswerda,1,2015,NA,51.4388605,14.2536419
30,2015-01-29,Chemnitz,1,2015,NA,50.8282222,12.9208547
31,2015-01-31,Berlin,1,2015,NA,52.5200066,13.404954
32,2015-01-31,Höringen,1,2015,NA,49.5559024,7.7961307
33,2015-01-31,Höringen,1,2015,NA,49.5559024,7.7961307
34,2015-02-01,Berlin,2,2015,NA,52.5200066,13.404954
35,2015-02-06,Flieden,2,2015,NA,50.4237389,9.5646005
36,2015-02-07,Waiblingen,2,2015,NA,48.8293519,9.3185739
37,2015-02-07,Wuppertal,2,2015,NA,51.2562128,7.1507636
38,2015-02-09,Escheburg,2,2015,NA,53.466542,10.3091922
