"","date","location","state","latitude","longitude"
"1","2023/02/09","Peutenhausen","Bayern",48.5232303,11.2304842
"2","2023/02/02","Steinberg, Marklkofen","Bayern",48.5736926,12.5706311
"3","2023/02/01","Marklkofen","Bayern",48.5527977,12.5594842
"4","2023/01/25","Französisch Buchholz, Berlin","Berlin",52.6084118,13.4299004
"5","2023/01/09","Bonn","Nordrhein-Westfalen",50.73743,7.0982068
"6","2022/11/21","Cuxhaven","Niedersachsen",53.859336,8.6879057
"7","2022/10/31","Neukieritzsch, Großzössen","Sachsen",51.1528553,12.4511087
"8","2022/10/28","Sehnde","Niedersachsen",52.3171922,9.9672765
"9","2022/10/28","Bautzen","Sachsen",51.182293,14.4237749
"10","2022/10/19","Groß Strömkendorf","Mecklenburg-Vorpommern",53.960261,11.487358
"11","2022/09/01","Simbach am Inn","Bayern",48.2675863,13.0273628
"12","2022/08/30","Grünau, Leipzig","Sachsen",51.3095584,12.2653329
"13","2022/08/05","Gräfelfing","Bayern",48.1227429,11.4340549
"14","2022/01/02","München","Bayern",48.1351253,11.5819806
"15","2022/01/01","München","Bayern",48.1351253,11.5819806
"16","2021/12/31","St. Wendel","Saarland",49.4677707,7.1690625
"17","2021/12/14","Leinefeld-Worbis","Thüringen",51.3831326,10.3322531
"18","2021/10/16","Simbach am Inn","Bayern",48.2675863,13.0273628
"19","2021/10/07","Prenzlau","Brandenburg",53.3173433,13.8633409
"20","2021/10/02","Chemnitz","Sachsen",50.8282222,12.9208547
"21","2021/09/17","Eberswalde","Brandenburg",52.837133,13.7875871
"22","2021/08/26","Forst","Brandenburg",51.7445739,14.6451394
"23","2021/08/19","Oedt, Grefrath","Nordrhein-Westfalen",51.3244564,6.3787876
"24","2021/08/11","Zehdenick","Brandenburg",52.9791731,13.3378948
"25","2021/07/23","Coswig","Sachsen",51.130518,13.5779228
"26","2021/07/22","Prenzlau","Brandenburg",53.3173433,13.8633409
"27","2021/07/17","Bad Schlema","Sachsen",50.5863723,12.7016117
"28","2021/06/19","Lage","Nordrhein-Westfalen",51.9906003,8.7895873
"29","2021/06/13","Erkelenz","Nordrhein-Westfalen",51.0784539,6.315907
"30","2021/06/03","Unna","Nordrhein-Westfalen",51.5410778,7.687836
"31","2021/05/29","Oldenburg","Niedersachsen",53.1434501,8.2145521
"32","2021/05/24","Talheim","Baden-Württemberg",49.0843978,9.1949052
"33","2021/05/01","Neustadt, Halle","Sachsen-Anhalt",51.475065,11.917278
"34","2021/05/01","Leeder","Bayern",47.930879,10.8274942
"35","2021/04/23","Erfurt","Thüringen",50.9847679,11.0298799
"36","2021/04/01","Herford","Nordrhein-Westfalen",52.1180196,8.6774772
"37","2021/03/19","Weinböhla","Sachsen",51.1637004,13.5812326
"38","2021/03/12","Ramersdorf, München","Bayern",48.103607,11.6335649
"39","2020/12/29","Graben-Neudorf","Rheinland-Pfalz",49.1605184,8.4849472
"40","2020/12/27","Blankenburg","Sachsen-Anhalt",51.8164261,10.9773091
"41","2020/12/21","Bad Arolsen","Hessen",51.3798641,9.0125506
"42","2020/12/21","Hannover","Niedersachsen",52.3758916,9.7320104
"43","2020/12/04","Chemnitz","Sachsen",50.8282222,12.9208547
"44","2020/11/30","Frechen","Nordrhein-Westfalen",50.9122488,6.8159957
"45","2020/11/29","Homburg","Saarland",49.3295827,7.3398428
"46","2020/11/25","Wildau","Brandenburg",52.3260146,13.6265615
"47","2020/11/24","Blankenburg","Sachsen-Anhalt",51.8164261,10.9773091
"48","2020/11/24","Blankenburg","Sachsen-Anhalt",51.8164261,10.9773091
"49","2020/11/23","Blankenburg","Sachsen-Anhalt",51.8164261,10.9773091
"50","2020/11/22","Nörvenich","Nordrhein-Westfalen",50.8066888,6.6402649
"51","2020/11/13","Hamburg","Hamburg",53.5488282,9.9871703
"52","2020/11/11","Speyer","Rheinland-Pfalz",49.3172765,8.4412172
"53","2020/11/10","Apolda","Thüringen",51.0255953,11.5111109
"54","2020/11/08","Sprockhövel","Nordrhein-Westfalen",51.3639672,7.2469129
"55","2020/11/08","Villenbach","Bayern",48.508272,10.6135465
"56","2020/11/07","Villenbach","Bayern",48.508272,10.6135465
"57","2020/11/04","Speyer","Rheinland-Pfalz",49.3172765,8.4412172
"58","2020/11/02","Friedrichshafen","Baden-Württemberg",47.6567329,9.4649538
"59","2020/10/22","Mülheim","Nordrhein-Westfalen",51.4185682,6.8845226
"60","2020/10/22","Speyer","Rheinland-Pfalz",49.3172765,8.4412172
"61","2020/10/18","Laim, München","Bayern",48.1370679,11.5024512
"62","2020/10/18","Hamburg","Hamburg",53.5488282,9.9871703
"63","2020/10/08","Berlin","Berlin",52.5200066,13.404954
"64","2020/10/07","Goch","Nordrhein-Westfalen",51.679984,6.1565522
"65","2020/10/02","Weimar","Thüringen",50.9794934,11.3235439
"66","2020/09/23","Heidenau","Sachsen",50.9758426,13.8661223
"67","2020/09/19","Steinberg","Schleswig-Holstein",54.7545686,9.7858573
"68","2020/09/18","Hannover","Niedersachsen",52.3758916,9.7320104
"69","2020/09/17","Breitungen","Thüringen",50.7625405,10.3294199
"70","2020/09/16","Neubrandenburg","Mecklenburg-Vorpommern",53.5678292,13.2779269
"71","2020/09/15","München","Bayern",48.1351253,11.5819806
"72","2020/09/14","Chemnitz","Sachsen",50.8282222,12.9208547
"73","2020/08/31","Prenzlau","Brandenburg",53.3173433,13.8633409
"74","2020/08/22","Göppingen","Baden-Württemberg",48.7054382,9.6512491
